"Tree-shaking, the horticulturally misguided algorithm",https://wingolog.org/archives/2023/11/24/tree-shaking-the-horticulturally-misguided-algorithm
350 tons of of chocolate and wine arrive on world’s largest cargo sailboat,https://untappedcities.com/2024/04/12/grain-de-sail-ll/
A disgruntled federal employee's 1980s desk calendar (2018),https://internationaltimes.it/a-disgruntled-federal-employees-1980s-desk-calendar/
Ray Tracer in a Boot Sector,https://github.com/nanochess/RayTracer
Shape Typing in Python,https://jameshfisher.com/2024/04/12/shape-typing-in-python/
The Reconstruction of Ulysses S Grant (2017),https://thebrowser.com/r/2cc28fad?m=c6bf87ab-387d-49ae-9584-ab31c2b12376
Pylyzer – A fast static code analyzer and language server for Python,https://github.com/mtshiba/pylyzer
15 Note Poly Tempo Pendulum [video],https://www.youtube.com/watch?v=lTwg4mFF32E
On Self-Respect (1961),https://www.vogue.com/article/joan-didion-self-respect-essay-1961
Backyard Birding (2023),https://worldsensorium.com/backyard-birding/
How I prepare a talk for a tech conference (2022),https://chelseatroy.com/2022/08/03/how-i-do-and-dont-prepare-a-talk-for-a-technical-conference/
When an antibiotic fails: Scientists are using AI to target 'sleeper' bacteria,https://phys.org/news/2024-04-antibiotic-scientists-ai-sleeper-bacteria.html
Green's Dictionary of Slang,https://greensdictofslang.com/
"Beautiful nebula, violent history: Clash of stars solves stellar mystery",https://phys.org/news/2024-04-beautiful-nebula-violent-history-clash.html
Monkey Management,https://mihirchronicles.com/monkey-management/
Commercial wing in ground effect plane (2018),https://www.nextbigfuture.com/2018/09/commercial-wing-in-ground-effect-plane.html
Data-as-a-Product and Data-Contract: An evolutionary approach to data maturity,https://blog.owulveryck.info/2024/04/09/data-as-a-product-and-data-contract-an-evolutionary-approach-to-data-maturity.html
Asymmetric Routing Around the Firewall,https://devnonsense.com/posts/asymmetric-routing-around-the-firewall/
Browser Security Bugs That Aren't: JavaScript in PDF,https://textslashplain.com/2024/04/10/browser-security-bugs-that-arent-javascript-in-pdf/
Common pitfalls of digital health startups and advice on how to avoid them,https://bettychang.xyz/advice-for-digital-health-founders/
Running DOS Apps on Windows from 1.0 to 95 (2020),https://gekk.info/articles/dosapps.html
Why do some people always get lost?,https://knowablemagazine.org/content/article/society/2024/why-do-some-people-always-get-lost-but-others-dont
Finding and fixing standard misconceptions about program behavior,https://blog.brownplt.org/2024/04/12/behavior-misconceptions.html
The One Billion Row Challenge in CUDA,https://tspeterkim.github.io/posts/cuda-1brc
Hacked Nvidia 4090 GPU driver to enable P2P,https://github.com/tinygrad/open-gpu-kernel-modules
I accidentally built a meme search engine,https://harper.blog/2024/04/12/i-accidentally-built-a-meme-search-engine/
Lessons after a Half-billion GPT Tokens,https://kenkantzer.com/lessons-after-a-half-billion-gpt-tokens/
"One man's artistic wonderland, created in rental, gets protected status",https://www.cnn.com/2024/04/07/style/rental-apartment-artwork-listed-gbr-scli-intl-gbr/index.html
Flow-IPC: Open-source toolkit for low-latency inter-process communication in C++,https://www.linode.com/blog/open-source/flow-ipc-introduction-low-latency-cpp-toolkit/
Ten Years and Counting: My Affair with Microservices,https://blog.allegro.tech/2024/04/ten-years-microservices.html
